Date,CRED Holding Co Ltd
20100401,49.03616227592273
20100402,48.68183235409389
20100403,48.68183235409389
20100404,48.68183235409389
20100405,48.68183235409389
20100406,48.778528388241135
20100407,48.3723002850347
20100408,48.15224297717545
20100409,47.9592878601341
20100410,47.9592878601341
20100411,47.9592878601341
20100412,49.24073171671285
20100413,50.24554328828502
20100414,49.61886124321782
20100415,42.335073259631486
20100416,41.94783651266123
20100417,41.94783651266123
20100418,41.94783651266123
20100419,43.4204453914875
20100420,45.01610412024002
20100421,44.3005363066484
20100422,59.72301189651413
20100423,57.22400033154076
20100424,57.22400033154076
20100425,57.22400033154076
20100426,58.57608429536725
20100427,60.81195056535116
20100428,60.30948690027847
20100429,62.2517637347076
20100430,74.20033313776547
20100501,73.70651846428166
20100502,73.70651846428166
20100503,73.70651846428166
20100504,76.6673663325657
20100505,74.79591176492426
20100506,77.44887218384432
20100507,80.1885149545824
20100508,80.1885149545824
20100509,80.1885149545824
20100510,78.56395112347735
20100511,79.01669478893908
20100512,77.00124874704731
20100513,77.09337209353913
20100514,77.42165789171614
20100515,77.42165789171614
20100516,77.42165789171614
20100517,80.34664321540274
20100518,82.31573439208042
20100519,86.2614567074095
20100520,87.96181328680446
20100521,90.19639894794396
20100522,90.19639894794396
20100523,90.19639894794396
20100524,87.03627417805488
20100525,82.525313127883
20100526,78.83356938233545
20100527,74.99413186199806
20100528,71.34869501616525
20100529,71.34869501616525
20100530,71.34869501616525
20100531,75.00049670876218
20100601,70.09760315777025
20100602,66.78096562373717
20100603,64.0709941402036
20100604,66.94112710405342
20100605,66.94112710405342
20100606,66.94112710405342
20100607,69.0127296524875
20100608,72.15388266944316
20100609,71.10256808245222
20100610,72.44982450723349
20100611,72.6579957010744
20100612,72.6579957010744
20100613,72.6579957010744
20100614,72.6579957010744
20100615,72.6579957010744
20100616,72.6579957010744
20100617,71.33370359659953
20100618,72.16472649157366
20100619,72.16472649157366
20100620,72.16472649157366
20100621,71.658854504054
20100622,72.42735066003405
20100623,68.78671811730419
20100624,65.3104193246978
20100625,68.79505616154155
20100626,68.79505616154155
20100627,68.79505616154155
20100628,71.66038529745511
20100629,68.1436979959546
20100630,72.09158929617458
20100701,73.33200678804494
20100702,69.67509970127652
20100703,69.67509970127652
20100704,69.67509970127652
